网页地址,项目位置,面积(公顷),供地方式,行业分类,成交价格(万元),下限,上限,约定交地时间,经度,纬度
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=5751f0ac-6558-4e50-be54-f8e2971f82db,KJ3#以西、九江街（创智中路）以南、KJ2#以北,5.86392,挂牌出让,房地产业,3924,1,3.5,2017年5月15日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7abe1335-f4dc-49ac-9abf-79d96dc620d4,S573#城市规划道路以北、规划内路以东、B584#城市规划道路绿化带以西,0.023154,协议出让,其他服务业,87.08,,3.8,2016年3月16日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2d9acbdc-71ec-4a9c-a909-aeeb615fb8da,T139#规划路以南，储备用地以东，南河道以西,1.25939,挂牌出让,电信和其他信息传输服务业,8060,0,3.5,2014年1月2日,103.88062,36.05589
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3caa08f5-6f64-4f97-bd93-b7e3401759c4,T139#规划路以南、S187#规划路以北、七里河区人民法院用地以东、甘肃烟草工业有限责任公司用地以西,3.96286,挂牌出让,烟草制品业,2956,0.7,2.5,2013年10月14日,103.73459,36.083776
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a881ab23-8c62-4b2f-9d32-ab7d57b9d09d,T500#规划路（北环路）以北、T502#规划路以东（沙井驿工业园区内，凤凰山以北、泥麻沙沟以南）,69.49075,挂牌出让,其它,12550,0,1.5,2015年10月17日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f047f407-9bd1-4404-942b-12ff57c315af,XZ12#:经十三路至经十三支路；XZ21#:纬三路至XZ12#,0.75933,协议出让,公共设施管理业,212.058,,,2019年10月29日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=0c10e695-b1a9-4497-aebf-21696817c8be,XZ19#路至经九路,0.436,协议出让,公共设施管理业,91.5905,,,2019年10月29日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=37d3ef33-96cd-45d9-9a0e-563ee66ab9d6,XZ21#路至经十路,2.772,协议出让,公共设施管理业,582.12,,,2019年10月29日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2a3b0a1e-2792-4b52-952b-2b029d71190a,XZ21#至经九路,0.39933,协议出让,公共设施管理业,131.67,,,2019年11月25日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=39db0955-77ce-4e28-a0e7-2642d9fee726,XZ25#:南绕城至纬十三路；XZ14#:XZ25#至经十二路,1.27502,协议出让,房地产业,267.7529,,,2020年3月4日,103.693237,36.514286
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=3e09aea2-3142-4578-996d-c711a3537a10,XZ25#路以东、纬十三路以南、XZ14#路以北,1.98936,划拨,社会福利业,417.76,,2,2019年4月11日,103.693394,36.500291
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6549e5e5-e3cc-43ea-964f-4a2d923e7b99,ZB1#：纬四路至纬六路；ZB3#：纬四路至纬六路,2.007278,协议出让,公共设施管理业,421.5284,,,2019年10月29日,103.693394,36.500291
